,Country,Area,Capital,Population,UN continental,UN statistical
0,Russia,16.654486443112493,Moscow,16.26141647040254,Europe,Eastern Europe
1,Canada,16.116561474711542,Ottawa,13.708092371196981,Americas,Northern America
2,China,16.07695704382158,Beijing,16.845306036793964,Asia,Eastern Asia
3,United States,16.069437513073034,"Washington, D.C.",13.398316433078595,Americas,Northern America
4,Brazil,15.957429944358173,Bras?lia,14.78951608220447,Americas,South America
5,Australia,15.855694505810744,Canberra,12.778869748398865,Oceania,Australia and New Zealand
6,India,15.005565861614706,New Delhi,16.6361718655468,Asia,Southern Asia
7,Argentina,14.838105360208468,Buenos Aires,14.877141384484164,Americas,South America
8,Kazakhstan,14.817942288158415,Astana,13.635370220580713,Asia,Central Asia
9,Algeria,14.683342290827762,Algiers,15.043925504491103,Africa,Northern Africa
10,Saudi Arabia,14.580834203661526,Riyadh,15.40039406325719,Asia,Western Asia
11,Mexico,14.49068468653397,Mexico City,15.996050043436886,Americas,Central America
12,Indonesia,14.463101115820153,Jakarta,16.136681361641152,Asia,South-Eastern Asia
13,Sudan,14.450004796668729,Khartoum,14.369775484110123,Africa,Northern Africa
14,Libya,14.380562969216543,Tripoli,13.984447100460606,Africa,Northern Africa
15,Iran,14.315191307694393,Tehran,15.995564335040642,Asia,Southern Asia
16,Mongolia,14.262827530094999,Ulan Bator,13.718781572130517,Asia,Eastern Asia
17,Peru,14.066437355570562,Lima,15.953387857055516,Americas,South America
18,Chad,14.065490763232043,N'Djamena,13.529544345915038,Africa,Middle Africa
19,Niger,14.052162459303275,Niamey,13.585863403998879,Africa,Western Africa
20,Angola,14.036010618333066,Luanda,14.7131398431479,Africa,Middle Africa
21,Mali,14.03077676430462,Bamako,14.069862811821588,Africa,Western Africa
22,South Africa,14.015211055664016,Pretoria,14.668183091740328,Africa,Southern Africa
23,Colombia,13.948070979348755,Bogot?,15.845407669837858,Americas,South America
24,Ethiopia,13.914722208035222,Addis Ababa,14.927611464812939,Africa,Eastern Africa
25,Bolivia,13.909529905002342,La Paz,13.684676096777201,Americas,South America
26,Mauritania,13.845748741024885,Nouakchott,13.485848876770923,Africa,Western Africa
27,Egypt,13.817957561607326,Cairo,16.140869350441285,Africa,Northern Africa
28,Tanzania,13.75903226573036,Dodoma,12.567934116156206,Africa,Eastern Africa
29,Nigeria,13.736216236846314,Abuja,13.565210329494542,Africa,Western Africa
30,Venezuela,13.728257333550095,Caracas,14.424699332835118,Americas,South America
31,Pakistan,13.689847556768617,Islamabad,13.77012504139902,Asia,Southern Asia
32,Namibia,13.62388384214904,Windhoek,12.44004139241654,Africa,Southern Africa
33,Mozambique,13.594352534185024,Maputo,13.889401149349652,Africa,Eastern Africa
34,Turkey,13.571605469746986,Ankara,15.454521253124716,Asia,Western Asia
35,Chile,13.53593156669562,Santiago,15.44161638569313,Americas,South America
36,Zambia,13.531305101739312,Lusaka,14.101631913130193,Africa,Eastern Africa
37,Myanmar,13.424803019281335,Naypyidaw[44],13.737549016494562,Asia,South-Eastern Asia
38,Afghanistan,13.388152539439547,Kabul,14.960004977043567,Asia,Southern Asia
39,France,13.370283830439408,Paris,14.622587136224542,Europe,Western Europe
40,Somalia,13.365555800203934,Mogadishu,13.908210971653181,Africa,Eastern Africa
41,Central African Republic,13.342276115256812,Bangui,13.502918115881444,Africa,Middle Africa
42,South Sudan,13.33706338209563,Juba,12.82775067687092,Africa,Eastern Africa
43,Ukraine,13.310501319519723,Kyiv,14.86184661317812,Europe,Eastern Europe
44,Madagascar,13.282849943049092,Antananarivo,14.29383881613749,Africa,Eastern Africa
45,Botswana,13.273761701544773,Gaborone,12.326766994753184,Africa,Southern Africa
